Day	SD4neg	SD3neg	SD2neg	SD1neg	SD0	SD1	SD2	SD3	SD4
0	1.671	2.033	2.395	2.794	3.232	3.711	4.230	4.793	5.356
1	1.635	1.994	2.352	2.752	3.196	3.685	4.222	4.810	5.398
2	1.643	2.002	2.362	2.764	3.210	3.704	4.249	4.846	5.443
3	1.656	2.017	2.378	2.782	3.232	3.730	4.280	4.885	5.489
4	1.672	2.034	2.397	2.803	3.256	3.758	4.314	4.925	5.537
5	1.689	2.053	2.418	2.826	3.282	3.789	4.349	4.967	5.585
6	1.708	2.074	2.440	2.851	3.310	3.820	4.386	5.009	5.633
7	1.727	2.096	2.464	2.877	3.339	3.853	4.423	5.052	5.682
8	1.748	2.118	2.488	2.904	3.369	3.887	4.461	5.096	5.731
9	1.769	2.141	2.513	2.932	3.400	3.921	4.500	5.140	5.780
10	1.791	2.165	2.540	2.960	3.431	3.957	4.540	5.186	5.831
11	1.814	2.190	2.567	2.990	3.464	3.993	4.581	5.232	5.883
12	1.837	2.216	2.595	3.021	3.498	4.031	4.623	5.280	5.936
13	1.861	2.242	2.623	3.052	3.533	4.070	4.667	5.329	5.991
14	1.885	2.269	2.653	3.085	3.569	4.110	4.712	5.379	6.047
15	1.910	2.297	2.683	3.118	3.606	4.151	4.758	5.431	6.104
16	1.935	2.325	2.714	3.152	3.644	4.193	4.804	5.483	6.162
17	1.961	2.353	2.745	3.187	3.682	4.235	4.852	5.536	6.221
18	1.987	2.382	2.777	3.221	3.720	4.278	4.899	5.589	6.279
19	2.013	2.410	2.808	3.256	3.758	4.320	4.946	5.642	6.338
20	2.039	2.439	2.840	3.291	3.797	4.363	4.994	5.695	6.397
21	2.064	2.468	2.871	3.325	3.835	4.406	5.042	5.749	6.456
22	2.090	2.496	2.903	3.360	3.874	4.448	5.089	5.802	6.514
23	2.116	2.525	2.934	3.395	3.912	4.490	5.136	5.854	6.572
24	2.142	2.553	2.965	3.429	3.950	4.532	5.183	5.906	6.630
25	2.167	2.582	2.996	3.463	3.987	4.574	5.229	5.958	6.687
26	2.193	2.610	3.027	3.497	4.025	4.616	5.275	6.010	6.745
27	2.218	2.638	3.058	3.531	4.062	4.657	5.321	6.061	6.801
28	2.243	2.665	3.088	3.564	4.099	4.698	5.366	6.112	6.857
29	2.268	2.693	3.118	3.597	4.135	4.738	5.411	6.162	6.912
30	2.293	2.720	3.148	3.630	4.172	4.778	5.456	6.212	6.967
31	2.317	2.747	3.178	3.663	4.208	4.818	5.500	6.261	7.022
32	2.341	2.774	3.207	3.695	4.243	4.857	5.544	6.310	7.075
33	2.365	2.801	3.236	3.727	4.278	4.896	5.587	6.358	7.129
34	2.389	2.827	3.265	3.758	4.313	4.935	5.630	6.406	7.181
35	2.413	2.853	3.294	3.790	4.348	4.973	5.672	6.453	7.233
36	2.436	2.879	3.322	3.821	4.382	5.011	5.714	6.500	7.285
37	2.459	2.904	3.350	3.851	4.416	5.048	5.756	6.546	7.336
38	2.482	2.930	3.377	3.882	4.449	5.085	5.797	6.592	7.386
